Questions;Answers;CorrectIndex
#Beispiel Fragen: http://www.quiz-fabrik.de/media/pubquiz/MultipleChoiceRunde-Mit-Moderation-Fragen-und-Loesungen.pdf

#Question1
In welcher Stadt endet die in Chicago beginnende Route 66?;Los Angeles/San Francisco/New York/Baltimore;0
#Question2
Wie ist Homer Simpsons zweiter Vorname?;Bartholomew/Charles/Abraham/Jay;3
#Question3
Wer verschoss im Fußball Endspiel 1976 den entscheidenden Elfmeter?;Fritz Walter/Christoph Daum/Uli Hoeneß/Franz Beckenbauer;2
#Question4
Welches große poetische Werk beendete Goethe als letztes vor seinem Tode?;Torquato Tasso/Faust 3/Wilhelm Meisters Wanderjahre/Iphigenie auf Tauris;1
#Question5
Wo landet am Ende die Erbse, die in Andersens Märchen die Prinzessin um den Schlaf bringt?;Abfalleimer/Verlies/Kunstkammer/Gemüsebeet;2
#Question6
Auf welchen Namen wird Schillers "Glocke" am Ende des Gedichts getauft?;Harmonia/Felicia/Concordia/Victoria;2
#Question7
Wie heißt der Komponist, dessen berühmteste Symphonie unvollendet blieb?;Wolfgang Amadeus Mozart/Franz Schubert/Ludwig van Beethoven/Joseph Haydn;1
#Question8
Wann endete der 2. Weltkrieg in Deutschland?;im Januar 1945/im Oktober 1945/im Dezember 1945/im Mai 1945;3
#Question9
Ein Werk der Weltliteratur ist Robert Musils unvollendeter Roman "Der Mann ohne ..."?;Eigenschaften/Erbschaften/Liebschaften/Freundschaften;0
#Question10
Was ist die Standard Tastenkombination für "Beenden" in Windows?;Alt Gr + E/Alt + F4/Strg + F6/Strg + F4;1
Was ist Wolfsmilch?;ein Cocktail/Milch von einem Wolf/eine Pflanze/Eselsmilch;2
Wie oft gewann Finnland den Song Contest?;1 mal/2 mal/nie;0
In welches Meer mündet der Amazonas?;Atlantik/Indischer Ozean/Mittelmeer;0
Wie viel kann Bambus pro Stunde maximal wachsen?;3mm;4cm;1cm;1m;1